Trace,Cache Size,Total Misses,Miss Rate
400.perlbench-41B.trace.txt.gz,8,1498,0.15
400.perlbench-41B.trace.txt.gz,16,571,0.057
400.perlbench-41B.trace.txt.gz,32,287,0.029
400.perlbench-41B.trace.txt.gz,64,247,0.025
400.perlbench-41B.trace.txt.gz,128,234,0.023
401.bzip2-226B.trace.txt.gz,8,25265,2.526
401.bzip2-226B.trace.txt.gz,16,21964,2.196
401.bzip2-226B.trace.txt.gz,32,19082,1.908
401.bzip2-226B.trace.txt.gz,64,13129,1.313
401.bzip2-226B.trace.txt.gz,128,4604,0.46
403.gcc-16B.trace.txt.gz,8,30147,3.015
403.gcc-16B.trace.txt.gz,16,26211,2.621
403.gcc-16B.trace.txt.gz,32,24315,2.432
403.gcc-16B.trace.txt.gz,64,23332,2.333
403.gcc-16B.trace.txt.gz,128,23106,2.311
410.bwaves-1963B.trace.txt.gz,8,44488,4.449
410.bwaves-1963B.trace.txt.gz,16,22564,2.256
410.bwaves-1963B.trace.txt.gz,32,16439,1.644
410.bwaves-1963B.trace.txt.gz,64,14853,1.485
410.bwaves-1963B.trace.txt.gz,128,13975,1.397
416.gamess-875B.trace.txt.gz,8,41487,4.149
416.gamess-875B.trace.txt.gz,16,24657,2.466
416.gamess-875B.trace.txt.gz,32,12522,1.252
416.gamess-875B.trace.txt.gz,64,4213,0.421
416.gamess-875B.trace.txt.gz,128,1440,0.144
429.mcf-184B.trace.txt.gz,8,113718,11.372
429.mcf-184B.trace.txt.gz,16,111518,11.152
429.mcf-184B.trace.txt.gz,32,107671,10.767
429.mcf-184B.trace.txt.gz,64,101768,10.177
429.mcf-184B.trace.txt.gz,128,95293,9.529
433.milc-127B.trace.txt.gz,8,24305,2.43
433.milc-127B.trace.txt.gz,16,22609,2.261
433.milc-127B.trace.txt.gz,32,22384,2.238
433.milc-127B.trace.txt.gz,64,22219,2.222
433.milc-127B.trace.txt.gz,128,22175,2.217
435.gromacs-111B.trace.txt.gz,8,8076,0.808
435.gromacs-111B.trace.txt.gz,16,5899,0.59
435.gromacs-111B.trace.txt.gz,32,4857,0.486
435.gromacs-111B.trace.txt.gz,64,4071,0.407
435.gromacs-111B.trace.txt.gz,128,3521,0.352
436.cactusADM-1804B.trace.txt.gz,8,124258,12.426
436.cactusADM-1804B.trace.txt.gz,16,59143,5.914
436.cactusADM-1804B.trace.txt.gz,32,7304,0.73
436.cactusADM-1804B.trace.txt.gz,64,4965,0.496
436.cactusADM-1804B.trace.txt.gz,128,3573,0.357
437.leslie3d-134B.trace.txt.gz,8,5091,0.509
437.leslie3d-134B.trace.txt.gz,16,4779,0.478
437.leslie3d-134B.trace.txt.gz,32,4537,0.454
437.leslie3d-134B.trace.txt.gz,64,4054,0.405
437.leslie3d-134B.trace.txt.gz,128,4042,0.404
