Trace,Cache Associativity,Total Misses,Miss Rate
400.perlbench-41B.trace.txt.gz,1,12824,1.282
400.perlbench-41B.trace.txt.gz,2,878,0.088
400.perlbench-41B.trace.txt.gz,4,297,0.03
400.perlbench-41B.trace.txt.gz,8,235,0.024
400.perlbench-41B.trace.txt.gz,16,237,0.024
401.bzip2-226B.trace.txt.gz,1,24342,2.434
401.bzip2-226B.trace.txt.gz,2,19591,1.959
401.bzip2-226B.trace.txt.gz,4,19086,1.909
401.bzip2-226B.trace.txt.gz,8,18860,1.886
401.bzip2-226B.trace.txt.gz,16,18662,1.866
403.gcc-16B.trace.txt.gz,1,86183,8.618
403.gcc-16B.trace.txt.gz,2,24232,2.423
403.gcc-16B.trace.txt.gz,4,21681,2.168
403.gcc-16B.trace.txt.gz,8,21639,2.164
403.gcc-16B.trace.txt.gz,16,21479,2.148
410.bwaves-1963B.trace.txt.gz,1,87220,8.722
410.bwaves-1963B.trace.txt.gz,2,84326,8.433
410.bwaves-1963B.trace.txt.gz,4,85452,8.545
410.bwaves-1963B.trace.txt.gz,8,16065,1.607
410.bwaves-1963B.trace.txt.gz,16,12023,1.202
416.gamess-875B.trace.txt.gz,1,36143,3.614
416.gamess-875B.trace.txt.gz,2,20316,2.032
416.gamess-875B.trace.txt.gz,4,14819,1.482
416.gamess-875B.trace.txt.gz,8,11729,1.173
416.gamess-875B.trace.txt.gz,16,10149,1.015
429.mcf-184B.trace.txt.gz,1,108020,10.802
429.mcf-184B.trace.txt.gz,2,106950,10.695
429.mcf-184B.trace.txt.gz,4,107141,10.714
429.mcf-184B.trace.txt.gz,8,107254,10.725
429.mcf-184B.trace.txt.gz,16,107586,10.759
433.milc-127B.trace.txt.gz,1,23826,2.383
433.milc-127B.trace.txt.gz,2,22087,2.209
433.milc-127B.trace.txt.gz,4,22083,2.208
433.milc-127B.trace.txt.gz,8,22083,2.208
433.milc-127B.trace.txt.gz,16,22083,2.208
435.gromacs-111B.trace.txt.gz,1,5836,0.584
435.gromacs-111B.trace.txt.gz,2,4606,0.461
