Trace,Cache Block,Total Misses,Miss Rate
400.perlbench-41B.trace.txt.gz,16,526,0.053
400.perlbench-41B.trace.txt.gz,32,340,0.034
400.perlbench-41B.trace.txt.gz,64,235,0.024
400.perlbench-41B.trace.txt.gz,128,233,0.023
401.bzip2-226B.trace.txt.gz,16,9561,0.956
401.bzip2-226B.trace.txt.gz,32,17694,1.769
401.bzip2-226B.trace.txt.gz,64,18860,1.886
401.bzip2-226B.trace.txt.gz,128,19963,1.996
403.gcc-16B.trace.txt.gz,16,78080,7.808
403.gcc-16B.trace.txt.gz,32,41006,4.101
403.gcc-16B.trace.txt.gz,64,21639,2.164
403.gcc-16B.trace.txt.gz,128,11183,1.118
410.bwaves-1963B.trace.txt.gz,16,50241,5.024
410.bwaves-1963B.trace.txt.gz,32,27735,2.773
410.bwaves-1963B.trace.txt.gz,64,16065,1.607
410.bwaves-1963B.trace.txt.gz,128,11265,1.127
416.gamess-875B.trace.txt.gz,16,10959,1.096
416.gamess-875B.trace.txt.gz,32,10637,1.064
416.gamess-875B.trace.txt.gz,64,11729,1.173
416.gamess-875B.trace.txt.gz,128,12152,1.215
429.mcf-184B.trace.txt.gz,16,131010,13.101
429.mcf-184B.trace.txt.gz,32,137416,13.742
429.mcf-184B.trace.txt.gz,64,107254,10.725
429.mcf-184B.trace.txt.gz,128,108355,10.835
433.milc-127B.trace.txt.gz,16,75018,7.502
433.milc-127B.trace.txt.gz,32,39729,3.973
433.milc-127B.trace.txt.gz,64,22083,2.208
433.milc-127B.trace.txt.gz,128,13260,1.326
435.gromacs-111B.trace.txt.gz,16,8764,0.876
435.gromacs-111B.trace.txt.gz,32,5777,0.578
435.gromacs-111B.trace.txt.gz,64,4248,0.425
435.gromacs-111B.trace.txt.gz,128,3542,0.354
436.cactusADM-1804B.trace.txt.gz,16,16435,1.643
436.cactusADM-1804B.trace.txt.gz,32,8270,0.827
436.cactusADM-1804B.trace.txt.gz,64,4344,0.434
436.cactusADM-1804B.trace.txt.gz,128,13844,1.384
437.leslie3d-134B.trace.txt.gz,16,15830,1.583
437.leslie3d-134B.trace.txt.gz,32,7922,0.792
