Trace,Cache Size,Total Misses,Miss Rate
400.perlbench-41B.trace.txt.gz,8,1282,0.128
400.perlbench-41B.trace.txt.gz,16,471,0.047
400.perlbench-41B.trace.txt.gz,32,235,0.024
400.perlbench-41B.trace.txt.gz,64,234,0.023
400.perlbench-41B.trace.txt.gz,128,234,0.023
401.bzip2-226B.trace.txt.gz,8,23729,2.373
401.bzip2-226B.trace.txt.gz,16,21467,2.147
401.bzip2-226B.trace.txt.gz,32,18860,1.886
401.bzip2-226B.trace.txt.gz,64,15453,1.545
401.bzip2-226B.trace.txt.gz,128,4754,0.475
403.gcc-16B.trace.txt.gz,8,24090,2.409
403.gcc-16B.trace.txt.gz,16,22320,2.232
403.gcc-16B.trace.txt.gz,32,21639,2.164
403.gcc-16B.trace.txt.gz,64,21370,2.137
403.gcc-16B.trace.txt.gz,128,21333,2.133
410.bwaves-1963B.trace.txt.gz,8,54928,5.493
410.bwaves-1963B.trace.txt.gz,16,25357,2.536
410.bwaves-1963B.trace.txt.gz,32,16065,1.607
410.bwaves-1963B.trace.txt.gz,64,13260,1.326
410.bwaves-1963B.trace.txt.gz,128,11697,1.17
416.gamess-875B.trace.txt.gz,8,37468,3.747
416.gamess-875B.trace.txt.gz,16,22185,2.219
416.gamess-875B.trace.txt.gz,32,11729,1.173
416.gamess-875B.trace.txt.gz,64,3264,0.326
416.gamess-875B.trace.txt.gz,128,1184,0.118
429.mcf-184B.trace.txt.gz,8,111595,11.159
429.mcf-184B.trace.txt.gz,16,110372,11.037
429.mcf-184B.trace.txt.gz,32,107254,10.725
429.mcf-184B.trace.txt.gz,64,100313,10.031
429.mcf-184B.trace.txt.gz,128,93056,9.306
433.milc-127B.trace.txt.gz,8,22154,2.215
433.milc-127B.trace.txt.gz,16,22119,2.212
433.milc-127B.trace.txt.gz,32,22083,2.208
433.milc-127B.trace.txt.gz,64,22083,2.208
433.milc-127B.trace.txt.gz,128,22083,2.208
435.gromacs-111B.trace.txt.gz,8,5119,0.512
435.gromacs-111B.trace.txt.gz,16,4700,0.47
435.gromacs-111B.trace.txt.gz,32,4248,0.425
435.gromacs-111B.trace.txt.gz,64,3757,0.376
435.gromacs-111B.trace.txt.gz,128,3103,0.31
436.cactusADM-1804B.trace.txt.gz,8,110294,11.029
436.cactusADM-1804B.trace.txt.gz,16,63487,6.349
436.cactusADM-1804B.trace.txt.gz,32,4344,0.434
436.cactusADM-1804B.trace.txt.gz,64,3717,0.372
436.cactusADM-1804B.trace.txt.gz,128,2882,0.288
437.leslie3d-134B.trace.txt.gz,8,3968,0.397
437.leslie3d-134B.trace.txt.gz,16,3968,0.397
437.leslie3d-134B.trace.txt.gz,32,3968,0.397
437.leslie3d-134B.trace.txt.gz,64,3968,0.397
437.leslie3d-134B.trace.txt.gz,128,3968,0.397
444.namd-120B.trace.txt.gz,8,21166,2.117
444.namd-120B.trace.txt.gz,16,14345,1.435
444.namd-120B.trace.txt.gz,32,4368,0.437
444.namd-120B.trace.txt.gz,64,1133,0.113
444.namd-120B.trace.txt.gz,128,991,0.099
445.gobmk-17B.trace.txt.gz,8,63246,6.325
445.gobmk-17B.trace.txt.gz,16,33628,3.363
445.gobmk-17B.trace.txt.gz,32,11407,1.141
445.gobmk-17B.trace.txt.gz,64,3230,0.323
445.gobmk-17B.trace.txt.gz,128,1439,0.144
450.soplex-247B.trace.txt.gz,8,76096,7.61
450.soplex-247B.trace.txt.gz,16,72354,7.235
450.soplex-247B.trace.txt.gz,32,67734,6.773
450.soplex-247B.trace.txt.gz,64,61798,6.18
450.soplex-247B.trace.txt.gz,128,55180,5.518
453.povray-887B.trace.txt.gz,8,37171,3.717
453.povray-887B.trace.txt.gz,16,29787,2.979
453.povray-887B.trace.txt.gz,32,25001,2.5
453.povray-887B.trace.txt.gz,64,12368,1.237
453.povray-887B.trace.txt.gz,128,2918,0.292
454.calculix-104B.trace.txt.gz,8,520,0.052
454.calculix-104B.trace.txt.gz,16,469,0.047
454.calculix-104B.trace.txt.gz,32,420,0.042
454.calculix-104B.trace.txt.gz,64,418,0.042
454.calculix-104B.trace.txt.gz,128,418,0.042
456.hmmer-191B.trace.txt.gz,8,11317,1.132
456.hmmer-191B.trace.txt.gz,16,9333,0.933
456.hmmer-191B.trace.txt.gz,32,4097,0.41
456.hmmer-191B.trace.txt.gz,64,3343,0.334
456.hmmer-191B.trace.txt.gz,128,2960,0.296
458.sjeng-1088B.trace.txt.gz,8,36554,3.655
458.sjeng-1088B.trace.txt.gz,16,21201,2.12
458.sjeng-1088B.trace.txt.gz,32,6924,0.692
458.sjeng-1088B.trace.txt.gz,64,1742,0.174
458.sjeng-1088B.trace.txt.gz,128,1220,0.122
459.GemsFDTD-1169B.trace.txt.gz,8,22920,2.292
459.GemsFDTD-1169B.trace.txt.gz,16,18982,1.898
459.GemsFDTD-1169B.trace.txt.gz,32,17978,1.798
459.GemsFDTD-1169B.trace.txt.gz,64,17753,1.775
459.GemsFDTD-1169B.trace.txt.gz,128,17753,1.775
462.libquantum-1343B.trace.txt.gz,8,17649,1.765
462.libquantum-1343B.trace.txt.gz,16,17649,1.765
462.libquantum-1343B.trace.txt.gz,32,17649,1.765
462.libquantum-1343B.trace.txt.gz,64,17649,1.765
462.libquantum-1343B.trace.txt.gz,128,17649,1.765
464.h264ref-30B.trace.txt.gz,8,2855,0.285
464.h264ref-30B.trace.txt.gz,16,557,0.056
464.h264ref-30B.trace.txt.gz,32,555,0.056
464.h264ref-30B.trace.txt.gz,64,555,0.056
464.h264ref-30B.trace.txt.gz,128,555,0.056
465.tonto-1769B.trace.txt.gz,8,28140,2.814
465.tonto-1769B.trace.txt.gz,16,28139,2.814
465.tonto-1769B.trace.txt.gz,32,28139,2.814
465.tonto-1769B.trace.txt.gz,64,28139,2.814
465.tonto-1769B.trace.txt.gz,128,28139,2.814
470.lbm-1274B.trace.txt.gz,8,35913,3.591
470.lbm-1274B.trace.txt.gz,16,35867,3.587
470.lbm-1274B.trace.txt.gz,32,35867,3.587
470.lbm-1274B.trace.txt.gz,64,35867,3.587
470.lbm-1274B.trace.txt.gz,128,23809,2.381
471.omnetpp-188B.trace.txt.gz,8,91543,9.154
471.omnetpp-188B.trace.txt.gz,16,73374,7.337
471.omnetpp-188B.trace.txt.gz,32,27971,2.797
471.omnetpp-188B.trace.txt.gz,64,17547,1.755
471.omnetpp-188B.trace.txt.gz,128,16512,1.651
473.astar-153B.trace.txt.gz,8,4765,0.476
473.astar-153B.trace.txt.gz,16,4640,0.464
473.astar-153B.trace.txt.gz,32,4449,0.445
473.astar-153B.trace.txt.gz,64,3716,0.372
473.astar-153B.trace.txt.gz,128,2866,0.287
481.wrf-1170B.trace.txt.gz,8,5962,0.596
481.wrf-1170B.trace.txt.gz,16,5123,0.512
481.wrf-1170B.trace.txt.gz,32,3834,0.383
481.wrf-1170B.trace.txt.gz,64,2814,0.281
481.wrf-1170B.trace.txt.gz,128,2760,0.276
482.sphinx3-1100B.trace.txt.gz,8,15856,1.586
482.sphinx3-1100B.trace.txt.gz,16,12627,1.263
482.sphinx3-1100B.trace.txt.gz,32,11943,1.194
482.sphinx3-1100B.trace.txt.gz,64,11364,1.136
482.sphinx3-1100B.trace.txt.gz,128,10660,1.066
483.xalancbmk-127B.trace.txt.gz,8,20714,2.071
483.xalancbmk-127B.trace.txt.gz,16,20650,2.065
483.xalancbmk-127B.trace.txt.gz,32,20642,2.064
483.xalancbmk-127B.trace.txt.gz,64,20639,2.064
483.xalancbmk-127B.trace.txt.gz,128,20637,2.064
