Trace,Politica de Reemplazo,Total Misses,Miss Rate
400.perlbench-41B.trace.txt.gz,Random,339,0.034
400.perlbench-41B.trace.txt.gz,LRU,235,0.024
401.bzip2-226B.trace.txt.gz,Random,18480,1.848
401.bzip2-226B.trace.txt.gz,LRU,18860,1.886
403.gcc-16B.trace.txt.gz,Random,28509,2.851
403.gcc-16B.trace.txt.gz,LRU,21639,2.164
410.bwaves-1963B.trace.txt.gz,Random,26350,2.635
410.bwaves-1963B.trace.txt.gz,LRU,16065,1.607
416.gamess-875B.trace.txt.gz,Random,11854,1.185
416.gamess-875B.trace.txt.gz,LRU,11729,1.173
429.mcf-184B.trace.txt.gz,Random,107387,10.739
429.mcf-184B.trace.txt.gz,LRU,107254,10.725
433.milc-127B.trace.txt.gz,Random,22347,2.235
433.milc-127B.trace.txt.gz,LRU,22083,2.208
435.gromacs-111B.trace.txt.gz,Random,4797,0.48
435.gromacs-111B.trace.txt.gz,LRU,4248,0.425
436.cactusADM-1804B.trace.txt.gz,Random,9945,0.995
436.cactusADM-1804B.trace.txt.gz,LRU,4344,0.434
437.leslie3d-134B.trace.txt.gz,Random,4400,0.44
437.leslie3d-134B.trace.txt.gz,LRU,3968,0.397
444.namd-120B.trace.txt.gz,Random,5677,0.568
444.namd-120B.trace.txt.gz,LRU,4368,0.437
445.gobmk-17B.trace.txt.gz,Random,16117,1.612
445.gobmk-17B.trace.txt.gz,LRU,11407,1.141
450.soplex-247B.trace.txt.gz,Random,71251,7.125
450.soplex-247B.trace.txt.gz,LRU,67734,6.773
453.povray-887B.trace.txt.gz,Random,26570,2.657
453.povray-887B.trace.txt.gz,LRU,25001,2.5
454.calculix-104B.trace.txt.gz,Random,478,0.048
454.calculix-104B.trace.txt.gz,LRU,420,0.042
456.hmmer-191B.trace.txt.gz,Random,6037,0.604
456.hmmer-191B.trace.txt.gz,LRU,4097,0.41
458.sjeng-1088B.trace.txt.gz,Random,9504,0.95
458.sjeng-1088B.trace.txt.gz,LRU,6924,0.692
459.GemsFDTD-1169B.trace.txt.gz,Random,21887,2.189
459.GemsFDTD-1169B.trace.txt.gz,LRU,17978,1.798
462.libquantum-1343B.trace.txt.gz,Random,17823,1.782
462.libquantum-1343B.trace.txt.gz,LRU,17649,1.765
464.h264ref-30B.trace.txt.gz,Random,704,0.07
464.h264ref-30B.trace.txt.gz,LRU,555,0.056
465.tonto-1769B.trace.txt.gz,Random,28381,2.838
465.tonto-1769B.trace.txt.gz,LRU,28139,2.814
470.lbm-1274B.trace.txt.gz,Random,38656,3.866
470.lbm-1274B.trace.txt.gz,LRU,35867,3.587
471.omnetpp-188B.trace.txt.gz,Random,37379,3.738
471.omnetpp-188B.trace.txt.gz,LRU,27971,2.797
473.astar-153B.trace.txt.gz,Random,5132,0.513
473.astar-153B.trace.txt.gz,LRU,4449,0.445
481.wrf-1170B.trace.txt.gz,Random,4611,0.461
481.wrf-1170B.trace.txt.gz,LRU,3834,0.383
482.sphinx3-1100B.trace.txt.gz,Random,14210,1.421
482.sphinx3-1100B.trace.txt.gz,LRU,11943,1.194
483.xalancbmk-127B.trace.txt.gz,Random,21863,2.186
483.xalancbmk-127B.trace.txt.gz,LRU,20642,2.064
