Trace,AMAT L1,AMAT L2,Speedup
400.perlbench-41B.trace.txt.gz,4.115,4.117,0.9995142093757591
454.calculix-104B.trace.txt.gz,4.21,4.214,0.9990507831039391
464.h264ref-30B.trace.txt.gz,4.28,4.287,0.9983671565197109
481.wrf-1170B.trace.txt.gz,5.915,5.426,1.0901216365646884
437.leslie3d-134B.trace.txt.gz,5.985,6.033,0.9920437593237196
456.hmmer-191B.trace.txt.gz,6.045,5.557,1.0878171675364405
435.gromacs-111B.trace.txt.gz,6.12,5.578,1.0971674435281462
436.cactusADM-1804B.trace.txt.gz,6.17,5.487,1.1244760342628028
444.namd-120B.trace.txt.gz,6.175,4.546,1.3583369995600527
473.astar-153B.trace.txt.gz,6.22,5.483,1.1344154659857741
458.sjeng-1088B.trace.txt.gz,7.44,4.676,1.591103507271172
445.gobmk-17B.trace.txt.gz,9.645,4.834,1.9952420355812992
416.gamess-875B.trace.txt.gz,9.805,4.659,2.1045288688559776
482.sphinx3-1100B.trace.txt.gz,9.965,9.467,1.0526037815569873
410.bwaves-1963B.trace.txt.gz,11.995,9.962,1.20407548685003
401.bzip2-226B.trace.txt.gz,13.29,6.136,2.1659061277705343
403.gcc-16B.trace.txt.gz,14.815,14.935,0.991965182457315
433.milc-127B.trace.txt.gz,15.04,15.305,0.9826853969291081
453.povray-887B.trace.txt.gz,16.22,5.291,3.0655830655830654
471.omnetpp-188B.trace.txt.gz,17.83,12.647,1.4098205107930732
465.tonto-1769B.trace.txt.gz,18.07,18.408,0.981638418079096
470.lbm-1274B.trace.txt.gz,21.73,16.515,1.3157735392067818
450.soplex-247B.trace.txt.gz,37.445,31.994,1.1703756954428957
429.mcf-184B.trace.txt.gz,56.865,51.047,1.1139733970654495
459.GemsFDTD-1169B.trace.txt.gz,,,
462.libquantum-1343B.trace.txt.gz,,,
483.xalancbmk-127B.trace.txt.gz,,,
