Trace,AMAT L1,AMAT L2,AMAT L3,Speedup
400.perlbench-41B.trace.txt.gz,4.115,4.117,4.131,0.9966109900750423
454.calculix-104B.trace.txt.gz,4.21,4.214,4.239,0.9941023826374146
464.h264ref-30B.trace.txt.gz,4.28,4.287,4.32,0.992361111111111
481.wrf-1170B.trace.txt.gz,5.915,5.425,5.59,0.9704830053667263
437.leslie3d-134B.trace.txt.gz,5.985,6.033,6.271,0.9620475203316856
456.hmmer-191B.trace.txt.gz,6.045,5.421,5.585,0.9706356311548792
435.gromacs-111B.trace.txt.gz,6.12,5.433,5.589,0.9720880300590444
436.cactusADM-1804B.trace.txt.gz,6.17,5.476,5.641,0.9707498670448502
444.namd-120B.trace.txt.gz,6.175,4.546,4.605,0.9871878393051031
473.astar-153B.trace.txt.gz,6.22,5.274,5.387,0.9790235752738073
458.sjeng-1088B.trace.txt.gz,7.44,4.676,4.748,0.9848357203032856
445.gobmk-17B.trace.txt.gz,9.645,4.834,4.918,0.9829198861325741
416.gamess-875B.trace.txt.gz,9.805,4.659,4.721,0.9868671891548401
482.sphinx3-1100B.trace.txt.gz,9.96,9.041,9.465,0.955203380876915
410.bwaves-1963B.trace.txt.gz,11.995,9.898,10.579,0.9356271859343982
401.bzip2-226B.trace.txt.gz,13.275,5.4,5.527,0.9770218925275919
403.gcc-16B.trace.txt.gz,14.815,14.92,16.186,0.9217842580007414
433.milc-127B.trace.txt.gz,15.04,15.305,16.63,0.9203247143716176
453.povray-887B.trace.txt.gz,16.215,5.139,5.228,0.9829762815608264
471.omnetpp-188B.trace.txt.gz,17.825,12.459,13.35,0.9332584269662921
465.tonto-1769B.trace.txt.gz,17.92,14.343,11.707,1.2251644315366874
470.lbm-1274B.trace.txt.gz,21.695,15.515,16.846,0.9209901460287309
450.soplex-247B.trace.txt.gz,36.55,22.212,17.105,1.2985676702718503
429.mcf-184B.trace.txt.gz,55.37,39.098,34.552,1.1315698078258856
459.GemsFDTD-1169B.trace.txt.gz,,,,
462.libquantum-1343B.trace.txt.gz,,,,
483.xalancbmk-127B.trace.txt.gz,,,,
